tipo_ocup,id_90,id_00,id_06,id_10,id_18
Agricultores y trabajadores calificados agropecuarios y pesqueros,0.581,0.864,0.838,0.814,0.834
Empleados de oficina,0.86,0.101,0.081,0.047,0.059
Fuerzas Armadas,0.034,0.84,0.866,0.912,0.879
Miembro de poder ejecutivo y cuerpos legislativos y personal directivo de la administración pública y de las empresas,0.691,0.453,0.389,0.347,0.468
"Oficiales, operarios y artesanos de artes mecánicas y de otros",0.727,0.781,0.76,0.784,0.822
Operadores y montadores de instalaciones y máquinas,0.872,0.832,0.788,0.754,0.854
Profesionales científicos e intelectuales,0.248,0.03,0.046,0.036,0.093
Técnicos y profesionales de nivel medio,0.358,0.416,0.387,0.376,0.386
Trabajadores de los servicios y vendedores de comercios y mercado,0.981,0.103,0.059,0.002,0.08
Trabajadores no calificados,0.023,0.196,0.21,0.23,0.192
